Date,Open,High,Low,Close,Adj Close,Volume
2019-10-18,1404.000000,1427.900024,1398.699951,1416.349976,1416.349976,12856410
2019-10-22,1425.000000,1436.849976,1403.349976,1414.150024,1414.150024,12703054
2019-10-23,1416.300049,1425.949951,1383.150024,1392.400024,1392.400024,8432964
2019-10-24,1401.000000,1441.400024,1386.550049,1436.449951,1436.449951,10351384
2019-10-25,1441.099976,1441.449951,1411.250000,1431.199951,1431.199951,6190013
2019-10-27,null,null,null,null,null,null
2019-10-29,1445.500000,1480.000000,1442.099976,1467.050049,1467.050049,11780494
2019-10-30,1480.000000,1484.550049,1460.300049,1479.099976,1479.099976,7470723
2019-10-31,1484.000000,1489.650024,1461.699951,1464.349976,1464.349976,8898168
2019-11-01,1455.000000,1461.800049,1441.000000,1456.900024,1456.900024,6356579
2019-11-04,1465.900024,1471.000000,1445.099976,1457.650024,1457.650024,6429329
2019-11-05,1463.099976,1468.949951,1441.000000,1447.300049,1447.300049,5799318
2019-11-06,1442.699951,1446.449951,1428.500000,1434.900024,1434.900024,6686289
2019-11-07,1435.000000,1463.000000,1432.199951,1458.599976,1458.599976,6438749
2019-11-08,1449.000000,1459.650024,1441.300049,1445.500000,1445.500000,5494844
2019-11-11,1439.099976,1444.250000,1422.550049,1427.800049,1427.800049,5192423
2019-11-13,1430.000000,1475.900024,1430.000000,1472.300049,1472.300049,11532364
2019-11-14,1476.000000,1481.599976,1455.800049,1462.750000,1462.750000,6518339
2019-11-15,1465.650024,1486.800049,1463.150024,1470.849976,1470.849976,7173674
2019-11-18,1472.650024,1486.000000,1455.400024,1459.199951,1459.199951,6435097
2019-11-19,1467.000000,1514.900024,1465.000000,1509.750000,1509.750000,13795569
2019-11-20,1555.050049,1572.400024,1543.199951,1547.650024,1547.650024,19904164
2019-11-21,1545.000000,1556.000000,1528.550049,1537.599976,1537.599976,6810577
2019-11-22,1542.099976,1569.500000,1537.599976,1546.500000,1546.500000,10218978
2019-11-25,1551.150024,1564.800049,1551.000000,1561.550049,1561.550049,6924313
2019-11-26,1568.099976,1576.349976,1556.000000,1560.250000,1560.250000,16152137
2019-11-27,1559.949951,1575.500000,1556.099976,1569.849976,1569.849976,4408336
2019-11-28,1572.650024,1584.150024,1563.949951,1580.300049,1580.300049,6284885
2019-11-29,1581.949951,1581.949951,1547.849976,1551.150024,1551.150024,8484822
2019-12-02,1600.000000,1614.449951,1577.000000,1586.500000,1586.500000,14275186
2019-12-03,1592.750000,1594.000000,1572.599976,1578.900024,1578.900024,5938786
2019-12-04,1573.000000,1577.500000,1533.750000,1552.699951,1552.699951,9594828
2019-12-05,1574.000000,1579.750000,1544.000000,1550.849976,1550.849976,9117022
2019-12-06,1553.000000,1568.000000,1541.099976,1554.900024,1554.900024,5982129
2019-12-09,1556.150024,1577.400024,1546.500000,1572.599976,1572.599976,5779807
2019-12-10,1572.050049,1573.599976,1554.150024,1561.949951,1561.949951,4650906
2019-12-11,1555.599976,1574.500000,1550.599976,1562.400024,1562.400024,5652698
2019-12-12,1570.250000,1573.849976,1556.650024,1568.199951,1568.199951,4720977
2019-12-13,1580.000000,1590.000000,1572.400024,1582.900024,1582.900024,5791522
2019-12-16,1592.000000,1593.900024,1564.349976,1566.599976,1566.599976,5436951
2019-12-17,1566.750000,1579.000000,1555.550049,1562.699951,1562.699951,9291724
2019-12-18,1563.000000,1580.000000,1562.000000,1575.849976,1575.849976,6739582
2019-12-19,1573.699951,1614.900024,1571.800049,1609.949951,1609.949951,9375484
2019-12-20,1615.000000,1617.550049,1596.099976,1599.099976,1599.099976,9724619
2019-12-23,1560.099976,1577.550049,1557.800049,1571.400024,1571.400024,11478429
2019-12-24,1568.900024,1572.050049,1542.500000,1546.449951,1546.449951,8251144
2019-12-26,1541.650024,1552.949951,1510.150024,1515.400024,1515.400024,13605737
2019-12-27,1527.000000,1546.199951,1521.300049,1542.349976,1542.349976,8081591
2019-12-30,1545.949951,1547.650024,1528.050049,1544.199951,1544.199951,7828402
2019-12-31,1542.000000,1543.699951,1508.050049,1514.050049,1514.050049,10150467
2020-01-01,1518.000000,1527.099976,1505.500000,1509.599976,1509.599976,6402372
2020-01-02,1512.000000,1540.949951,1512.000000,1535.300049,1535.300049,8096561
2020-01-03,1533.000000,1541.650024,1523.000000,1537.150024,1537.150024,9593498
2020-01-06,1520.000000,1527.900024,1498.000000,1501.500000,1501.500000,11209343
2020-01-07,1519.000000,1534.500000,1513.500000,1524.599976,1524.599976,7627191
2020-01-08,1515.000000,1534.449951,1510.000000,1513.150024,1513.150024,7336561
2020-01-09,1538.599976,1550.000000,1531.250000,1548.000000,1548.000000,6849606
2020-01-10,1551.900024,1557.949951,1539.650024,1547.650024,1547.650024,5704686
2020-01-13,1545.050049,1558.699951,1538.400024,1543.699951,1543.699951,8358090
2020-01-14,1540.000000,1550.000000,1521.849976,1529.400024,1529.400024,7230788
2020-01-15,1535.849976,1539.900024,1518.250000,1523.849976,1523.849976,7231393
2020-01-16,1529.000000,1543.349976,1528.000000,1537.900024,1537.900024,5873662
2020-01-17,1553.500000,1584.949951,1553.199951,1581.000000,1581.000000,13469708
2020-01-20,1609.000000,1609.000000,1526.400024,1532.349976,1532.349976,14878868
2020-01-21,1528.599976,1545.849976,1522.000000,1533.900024,1533.900024,8650831
2020-01-22,1544.000000,1546.750000,1531.099976,1533.349976,1533.349976,4719245
2020-01-23,1536.500000,1541.949951,1520.699951,1526.849976,1526.849976,5142088
2020-01-24,1527.000000,1536.349976,1518.550049,1521.550049,1521.550049,6687633
2020-01-27,1514.900024,1524.449951,1505.000000,1506.550049,1506.550049,6120429
2020-01-28,1508.599976,1510.000000,1463.599976,1471.750000,1471.750000,11215313
2020-01-29,1474.050049,1494.400024,1464.050049,1479.849976,1479.849976,11313297
2020-01-30,1479.000000,1479.699951,1440.000000,1443.750000,1443.750000,10241756
2020-01-31,1453.000000,1453.250000,1407.199951,1411.650024,1411.650024,15886673
2020-02-03,1369.900024,1399.949951,1363.050049,1385.500000,1385.500000,14040626
2020-02-04,1400.000000,1432.500000,1397.800049,1426.400024,1426.400024,11604666
2020-02-05,1434.900024,1452.800049,1430.300049,1448.500000,1448.500000,8444823
